session_id,customer_cluster,behavior_segment,Revenue
0,0,Low Engagement Browsers,False
1,1,Moderate Interest Visitors,False
2,0,Low Engagement Browsers,False
3,0,Low Engagement Browsers,False
4,1,Moderate Interest Visitors,False
5,1,Moderate Interest Visitors,False
6,0,Low Engagement Browsers,False
7,0,Low Engagement Browsers,False
8,1,Moderate Interest Visitors,False
9,1,Moderate Interest Visitors,False
10,1,Moderate Interest Visitors,False
11,1,Moderate Interest Visitors,False
12,1,Moderate Interest Visitors,False
13,1,Moderate Interest Visitors,False
14,1,Moderate Interest Visitors,False
15,1,Moderate Interest Visitors,False
16,0,Low Engagement Browsers,False
17,1,Moderate Interest Visitors,False
18,1,Moderate Interest Visitors,False
19,1,Moderate Interest Visitors,False
20,1,Moderate Interest Visitors,False
21,0,Low Engagement Browsers,False
22,1,Moderate Interest Visitors,False
23,1,Moderate Interest Visitors,False
24,0,Low Engagement Browsers,False
25,1,Moderate Interest Visitors,False
26,1,Moderate Interest Visitors,False
27,1,Moderate Interest Visitors,False
28,1,Moderate Interest Visitors,False
29,1,Moderate Interest Visitors,False
30,1,Moderate Interest Visitors,False
31,1,Moderate Interest Visitors,False
32,1,Moderate Interest Visitors,False
33,1,Moderate Interest Visitors,False
34,1,Moderate Interest Visitors,False
35,1,Moderate Interest Visitors,False
36,1,Moderate Interest Visitors,False
37,1,Moderate Interest Visitors,False
38,1,Moderate Interest Visitors,False
39,1,Moderate Interest Visitors,False
40,1,Moderate Interest Visitors,False
41,1,Moderate Interest Visitors,False
42,1,Moderate Interest Visitors,False
43,1,Moderate Interest Visitors,False
44,1,Moderate Interest Visitors,False
45,1,Moderate Interest Visitors,False
46,1,Moderate Interest Visitors,False
47,0,Low Engagement Browsers,False
48,1,Moderate Interest Visitors,False
49,0,Low Engagement Browsers,False
50,0,Low Engagement Browsers,False
51,1,Moderate Interest Visitors,False
52,1,Moderate Interest Visitors,False
53,1,Moderate Interest Visitors,False
54,1,Moderate Interest Visitors,False
55,0,Low Engagement Browsers,False
56,0,Low Engagement Browsers,False
57,1,Moderate Interest Visitors,False
58,1,Moderate Interest Visitors,False
59,1,Moderate Interest Visitors,False
60,1,Moderate Interest Visitors,False
61,1,Moderate Interest Visitors,False
62,2,High-Value Intent Users,False
63,1,Moderate Interest Visitors,False
64,0,Low Engagement Browsers,False
65,1,Moderate Interest Visitors,True
66,2,High-Value Intent Users,False
67,0,Low Engagement Browsers,False
68,1,Moderate Interest Visitors,False
69,0,Low Engagement Browsers,False
70,0,Low Engagement Browsers,False
71,1,Moderate Interest Visitors,False
72,1,Moderate Interest Visitors,False
73,1,Moderate Interest Visitors,False
74,1,Moderate Interest Visitors,False
75,1,Moderate Interest Visitors,False
76,2,High-Value Intent Users,True
77,1,Moderate Interest Visitors,False
78,0,Low Engagement Browsers,False
79,0,Low Engagement Browsers,False
80,1,Moderate Interest Visitors,False
81,1,Moderate Interest Visitors,False
82,1,Moderate Interest Visitors,False
83,1,Moderate Interest Visitors,False
84,0,Low Engagement Browsers,False
85,0,Low Engagement Browsers,False
86,1,Moderate Interest Visitors,False
87,1,Moderate Interest Visitors,False
88,1,Moderate Interest Visitors,False
89,1,Moderate Interest Visitors,False
90,1,Moderate Interest Visitors,False
91,0,Low Engagement Browsers,False
92,1,Moderate Interest Visitors,False
93,1,Moderate Interest Visitors,False
94,1,Moderate Interest Visitors,False
95,1,Moderate Interest Visitors,False
96,1,Moderate Interest Visitors,False
97,1,Moderate Interest Visitors,False
98,1,Moderate Interest Visitors,False
99,1,Moderate Interest Visitors,False
100,1,Moderate Interest Visitors,False
101,1,Moderate Interest Visitors,True
102,1,Moderate Interest Visitors,False
103,1,Moderate Interest Visitors,False
104,1,Moderate Interest Visitors,False
105,0,Low Engagement Browsers,False
106,1,Moderate Interest Visitors,False
107,1,Moderate Interest Visitors,False
108,1,Moderate Interest Visitors,False
109,2,High-Value Intent Users,False
110,1,Moderate Interest Visitors,False
111,0,Low Engagement Browsers,False
112,0,Low Engagement Browsers,False
113,1,Moderate Interest Visitors,False
114,1,Moderate Interest Visitors,False
115,1,Moderate Interest Visitors,False
116,1,Moderate Interest Visitors,False
117,1,Moderate Interest Visitors,False
118,1,Moderate Interest Visitors,False
119,1,Moderate Interest Visitors,False
120,1,Moderate Interest Visitors,False
121,1,Moderate Interest Visitors,False
122,1,Moderate Interest Visitors,False
123,1,Moderate Interest Visitors,False
124,1,Moderate Interest Visitors,False
125,0,Low Engagement Browsers,False
126,1,Moderate Interest Visitors,False
127,1,Moderate Interest Visitors,False
128,1,Moderate Interest Visitors,False
129,0,Low Engagement Browsers,False
130,1,Moderate Interest Visitors,False
131,1,Moderate Interest Visitors,False
132,0,Low Engagement Browsers,False
133,1,Moderate Interest Visitors,False
134,1,Moderate Interest Visitors,False
135,1,Moderate Interest Visitors,False
136,1,Moderate Interest Visitors,False
137,1,Moderate Interest Visitors,False
138,0,Low Engagement Browsers,False
139,1,Moderate Interest Visitors,False
140,0,Low Engagement Browsers,False
141,1,Moderate Interest Visitors,False
142,1,Moderate Interest Visitors,False
143,0,Low Engagement Browsers,False
144,1,Moderate Interest Visitors,False
145,1,Moderate Interest Visitors,False
146,1,Moderate Interest Visitors,False
147,1,Moderate Interest Visitors,False
148,1,Moderate Interest Visitors,False
149,1,Moderate Interest Visitors,False
150,1,Moderate Interest Visitors,False
151,0,Low Engagement Browsers,False
152,0,Low Engagement Browsers,False
153,1,Moderate Interest Visitors,False
154,1,Moderate Interest Visitors,False
155,1,Moderate Interest Visitors,False
156,0,Low Engagement Browsers,False
157,1,Moderate Interest Visitors,False
158,1,Moderate Interest Visitors,False
159,1,Moderate Interest Visitors,False
160,1,Moderate Interest Visitors,False
161,1,Moderate Interest Visitors,False
162,1,Moderate Interest Visitors,False
163,1,Moderate Interest Visitors,False
164,1,Moderate Interest Visitors,False
165,0,Low Engagement Browsers,False
166,1,Moderate Interest Visitors,False
167,1,Moderate Interest Visitors,False
168,1,Moderate Interest Visitors,False
169,1,Moderate Interest Visitors,False
170,1,Moderate Interest Visitors,False
171,0,Low Engagement Browsers,False
172,1,Moderate Interest Visitors,False
173,1,Moderate Interest Visitors,False
174,1,Moderate Interest Visitors,False
175,1,Moderate Interest Visitors,False
176,1,Moderate Interest Visitors,False
177,1,Moderate Interest Visitors,False
178,0,Low Engagement Browsers,False
179,0,Low Engagement Browsers,False
180,1,Moderate Interest Visitors,False
181,2,High-Value Intent Users,False
182,1,Moderate Interest Visitors,False
183,1,Moderate Interest Visitors,False
184,2,High-Value Intent Users,False
185,1,Moderate Interest Visitors,True
186,1,Moderate Interest Visitors,False
187,0,Low Engagement Browsers,False
188,2,High-Value Intent Users,False
189,1,Moderate Interest Visitors,False
190,1,Moderate Interest Visitors,False
191,1,Moderate Interest Visitors,False
192,1,Moderate Interest Visitors,False
193,1,Moderate Interest Visitors,True
194,1,Moderate Interest Visitors,False
195,1,Moderate Interest Visitors,True
196,2,High-Value Intent Users,True
197,1,Moderate Interest Visitors,True
198,1,Moderate Interest Visitors,False
199,1,Moderate Interest Visitors,False
200,1,Moderate Interest Visitors,False
201,1,Moderate Interest Visitors,False
202,1,Moderate Interest Visitors,False
203,1,Moderate Interest Visitors,True
204,1,Moderate Interest Visitors,False
205,1,Moderate Interest Visitors,False
206,1,Moderate Interest Visitors,False
207,1,Moderate Interest Visitors,False
208,1,Moderate Interest Visitors,False
209,1,Moderate Interest Visitors,False
210,1,Moderate Interest Visitors,False
211,1,Moderate Interest Visitors,False
212,1,Moderate Interest Visitors,False
213,1,Moderate Interest Visitors,False
214,1,Moderate Interest Visitors,False
215,1,Moderate Interest Visitors,False
216,1,Moderate Interest Visitors,False
217,1,Moderate Interest Visitors,True
218,0,Low Engagement Browsers,False
219,0,Low Engagement Browsers,False
220,1,Moderate Interest Visitors,False
221,1,Moderate Interest Visitors,False
222,1,Moderate Interest Visitors,False
223,1,Moderate Interest Visitors,False
224,1,Moderate Interest Visitors,False
225,1,Moderate Interest Visitors,True
226,1,Moderate Interest Visitors,False
227,1,Moderate Interest Visitors,False
228,1,Moderate Interest Visitors,False
229,1,Moderate Interest Visitors,False
230,2,High-Value Intent Users,False
231,1,Moderate Interest Visitors,False
232,2,High-Value Intent Users,False
233,1,Moderate Interest Visitors,False
234,1,Moderate Interest Visitors,False
235,1,Moderate Interest Visitors,False
236,1,Moderate Interest Visitors,False
237,1,Moderate Interest Visitors,False
238,1,Moderate Interest Visitors,False
239,1,Moderate Interest Visitors,False
240,2,High-Value Intent Users,False
241,1,Moderate Interest Visitors,False
242,1,Moderate Interest Visitors,False
243,1,Moderate Interest Visitors,False
244,1,Moderate Interest Visitors,False
245,2,High-Value Intent Users,True
246,1,Moderate Interest Visitors,False
247,1,Moderate Interest Visitors,False
248,1,Moderate Interest Visitors,False
249,0,Low Engagement Browsers,False
250,0,Low Engagement Browsers,False
251,1,Moderate Interest Visitors,False
252,1,Moderate Interest Visitors,False
253,1,Moderate Interest Visitors,False
254,2,High-Value Intent Users,False
255,1,Moderate Interest Visitors,False
256,1,Moderate Interest Visitors,False
257,1,Moderate Interest Visitors,False
258,0,Low Engagement Browsers,False
259,1,Moderate Interest Visitors,True
260,1,Moderate Interest Visitors,False
261,1,Moderate Interest Visitors,False
262,1,Moderate Interest Visitors,True
263,1,Moderate Interest Visitors,False
264,1,Moderate Interest Visitors,False
265,1,Moderate Interest Visitors,False
266,1,Moderate Interest Visitors,False
267,1,Moderate Interest Visitors,False
268,0,Low Engagement Browsers,False
269,1,Moderate Interest Visitors,False
270,1,Moderate Interest Visitors,False
271,1,Moderate Interest Visitors,False
272,1,Moderate Interest Visitors,False
273,1,Moderate Interest Visitors,True
274,1,Moderate Interest Visitors,False
275,1,Moderate Interest Visitors,False
276,1,Moderate Interest Visitors,False
277,1,Moderate Interest Visitors,False
278,1,Moderate Interest Visitors,True
279,2,High-Value Intent Users,False
280,1,Moderate Interest Visitors,False
281,1,Moderate Interest Visitors,False
282,1,Moderate Interest Visitors,False
283,0,Low Engagement Browsers,False
284,1,Moderate Interest Visitors,False
285,2,High-Value Intent Users,False
286,1,Moderate Interest Visitors,False
287,1,Moderate Interest Visitors,False
288,1,Moderate Interest Visitors,False
289,1,Moderate Interest Visitors,False
290,0,Low Engagement Browsers,False
291,1,Moderate Interest Visitors,True
292,1,Moderate Interest Visitors,True
293,1,Moderate Interest Visitors,False
294,1,Moderate Interest Visitors,False
295,0,Low Engagement Browsers,False
296,1,Moderate Interest Visitors,False
297,1,Moderate Interest Visitors,False
298,1,Moderate Interest Visitors,False
299,0,Low Engagement Browsers,False
300,1,Moderate Interest Visitors,False
301,1,Moderate Interest Visitors,False
302,1,Moderate Interest Visitors,False
303,1,Moderate Interest Visitors,False
304,1,Moderate Interest Visitors,False
305,1,Moderate Interest Visitors,False
306,1,Moderate Interest Visitors,False
307,1,Moderate Interest Visitors,False
308,1,Moderate Interest Visitors,False
309,1,Moderate Interest Visitors,False
310,1,Moderate Interest Visitors,False
311,1,Moderate Interest Visitors,False
312,2,High-Value Intent Users,False
313,1,Moderate Interest Visitors,False
314,1,Moderate Interest Visitors,False
315,1,Moderate Interest Visitors,False
316,1,Moderate Interest Visitors,False
317,1,Moderate Interest Visitors,True
318,1,Moderate Interest Visitors,False
319,1,Moderate Interest Visitors,False
320,1,Moderate Interest Visitors,False
321,2,High-Value Intent Users,False
322,1,Moderate Interest Visitors,False
323,1,Moderate Interest Visitors,False
324,1,Moderate Interest Visitors,False
325,1,Moderate Interest Visitors,False
