session_id,purchase_probability,intent_segment,recommended_action,actual_revenue
11640,0.13919322,Low Intent,Retarget with awareness ad or product education,0
6936,0.1342343,Low Intent,Retarget with awareness ad or product education,0
7194,0.13959949,Low Intent,Retarget with awareness ad or product education,0
11263,0.1901546,Low Intent,Retarget with awareness ad or product education,0
4728,0.00044658646,Low Intent,Retarget with awareness ad or product education,0
9878,0.9151414,High Intent,Send checkout reminder or limited-time offer,0
8101,0.029458381,Low Intent,Retarget with awareness ad or product education,0
6642,0.21276647,Low Intent,Retarget with awareness ad or product education,0
10215,0.35053194,Low Intent,Retarget with awareness ad or product education,0
10224,0.036681022,Low Intent,Retarget with awareness ad or product education,0
9114,0.041985754,Low Intent,Retarget with awareness ad or product education,0
5699,0.04635653,Low Intent,Retarget with awareness ad or product education,0
8770,0.2264073,Low Intent,Retarget with awareness ad or product education,0
11550,0.38273188,Low Intent,Retarget with awareness ad or product education,0
9159,0.7638054,High Intent,Send checkout reminder or limited-time offer,0
2221,0.0005106433,Low Intent,Retarget with awareness ad or product education,0
1939,0.026772462,Low Intent,Retarget with awareness ad or product education,0
2259,0.0019697084,Low Intent,Retarget with awareness ad or product education,0
2856,0.007102428,Low Intent,Retarget with awareness ad or product education,0
7300,0.14571229,Low Intent,Retarget with awareness ad or product education,0
1793,0.8129359,High Intent,Send checkout reminder or limited-time offer,0
10162,0.96059346,High Intent,Send checkout reminder or limited-time offer,1
1037,0.023270909,Low Intent,Retarget with awareness ad or product education,0
3925,0.009708376,Low Intent,Retarget with awareness ad or product education,0
10166,0.12828429,Low Intent,Retarget with awareness ad or product education,0
10165,0.6584577,Medium Intent,Send educational content about Nattoguard benefits,0
7769,0.22154975,Low Intent,Retarget with awareness ad or product education,1
1876,0.053483363,Low Intent,Retarget with awareness ad or product education,0
8227,0.020163924,Low Intent,Retarget with awareness ad or product education,0
8033,0.19850387,Low Intent,Retarget with awareness ad or product education,0
6137,0.9402789,High Intent,Send checkout reminder or limited-time offer,1
5491,0.30617586,Low Intent,Retarget with awareness ad or product education,0
5357,0.005568552,Low Intent,Retarget with awareness ad or product education,0
8638,0.8523987,High Intent,Send checkout reminder or limited-time offer,1
8511,0.66181207,Medium Intent,Send educational content about Nattoguard benefits,0
895,0.11511097,Low Intent,Retarget with awareness ad or product education,0
7162,0.14807294,Low Intent,Retarget with awareness ad or product education,0
2762,0.003190191,Low Intent,Retarget with awareness ad or product education,0
6689,0.008654735,Low Intent,Retarget with awareness ad or product education,0
12193,0.077908516,Low Intent,Retarget with awareness ad or product education,0
7099,0.22586341,Low Intent,Retarget with awareness ad or product education,0
11652,0.70557374,Medium Intent,Send educational content about Nattoguard benefits,0
3850,0.007543899,Low Intent,Retarget with awareness ad or product education,0
8036,0.057769097,Low Intent,Retarget with awareness ad or product education,0
7972,0.21817207,Low Intent,Retarget with awareness ad or product education,0
11932,0.2226891,Low Intent,Retarget with awareness ad or product education,0
7019,0.42540795,Medium Intent,Send educational content about Nattoguard benefits,0
