session_id,purchase_probability,intent_segment,recommended_action,actual_revenue,customer_cluster,behavior_segment,decision_priority,campaign_type,suggested_channel,chatbot_route
11640,0.13919322,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
6936,0.1342343,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
7194,0.13959949,Low Intent,Retarget with awareness ad or product education,0,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
11263,0.1901546,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
4728,0.00044658646,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
9878,0.9151414,High Intent,Send checkout reminder or limited-time offer,0,2,High-Value Intent Users,Priority 1 - Immediate Conversion,Conversion Campaign,Email + SMS,checkout_support
8101,0.029458381,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
6642,0.21276647,Low Intent,Retarget with awareness ad or product education,0,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
10215,0.35053194,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
10224,0.036681022,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
9114,0.041985754,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
5699,0.04635653,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8770,0.2264073,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
11550,0.38273188,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
9159,0.7638054,High Intent,Send checkout reminder or limited-time offer,0,2,High-Value Intent Users,Priority 1 - Immediate Conversion,Conversion Campaign,Email + SMS,checkout_support
2221,0.0005106433,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
