Feature,Importance
PageValues,0.3279609814786844
ExitRates,0.09463818964434365
ProductRelated_Duration,0.08075684882273305
ProductRelated,0.06532065439085441
BounceRates,0.05228997667295974
Administrative_Duration,0.04931955827896208
Administrative,0.04068217248473222
Month_Nov,0.024992798089205782
Informational_Duration,0.021452285304174028
Informational,0.015469519276891623
TrafficType_2,0.011576526989967218
Month_May,0.010684016491806267
Region_1,0.009569021526873348
Region_3,0.008027970370676752
VisitorType_Returning_Visitor,0.007865979213734811
Month_Mar,0.007769356719366453
OperatingSystems_2,0.0075293916143412895
Weekend_False,0.007458136588456582
Browser_2,0.007441863156082714
VisitorType_New_Visitor,0.007352354444726003
Weekend_True,0.0073510780825969645
OperatingSystems_3,0.00706930133638214
Month_Dec,0.006865975551855526
TrafficType_1,0.006809271634365545
TrafficType_3,0.006529450831859803
SpecialDay,0.0064844843165365335
OperatingSystems_1,0.005525988714698831
Region_4,0.005343913228724538
Region_2,0.00523478242596461
Month_Oct,0.005122484364544025
Browser_1,0.004920060224943213
Month_Sep,0.004838147842122097
Browser_4,0.0046208126704671525
Month_Jul,0.004359389365118699
Region_7,0.004251136372103016
Region_6,0.004024579480767466
TrafficType_8,0.003878766668659404
TrafficType_4,0.003852761547075399
Month_Aug,0.0035564075633417345
TrafficType_13,0.0035169641266565503
Region_9,0.003486357457434555
Region_8,0.003158694362522643
Browser_5,0.0029478338299578966
TrafficType_10,0.0029306968237448865
TrafficType_6,0.0028006595688934953
TrafficType_5,0.0026539119016038494
OperatingSystems_4,0.002484880213685982
Region_5,0.002448571323902791
TrafficType_20,0.002264210691178977
TrafficType_11,0.0021828795594335325
Month_June,0.002034168178084857
Browser_10,0.0015543134673871972
Browser_6,0.001375771906599712
Browser_8,0.0009011401555809934
Month_Feb,0.0008401245614420826
Browser_3,0.0004988855983512146
OperatingSystems_8,0.00044629838433117407
TrafficType_7,0.00043887957173602163
VisitorType_Other,0.000429676554798913
Browser_12,0.0004106542736988843
Browser_7,0.0003630874490170609
Browser_13,0.0002789782448697043
OperatingSystems_7,0.00016196522841161048
TrafficType_9,0.00016009746007778684
TrafficType_15,0.00013496883163409746
OperatingSystems_6,0.00010113782616134553
TrafficType_14,7.42136616685105e-05
TrafficType_19,4.099277862306788e-05
Browser_11,3.340991227821554e-05
OperatingSystems_5,2.3582765366996338e-05
TrafficType_16,1.2573994659976286e-05
TrafficType_18,1.1985755512782911e-05
Browser_9,1.0397989936350615e-06
TrafficType_17,0.0
