Feature,Importance
PageValues,0.20663945
Month_Nov,0.07877393
Month_May,0.052104782
Month_Mar,0.047960196
ExitRates,0.020010017
VisitorType_Returning_Visitor,0.018842027
Month_Jul,0.01677363
ProductRelated_Duration,0.016645156
Month_Sep,0.016547525
BounceRates,0.016196318
TrafficType_2,0.015779264
Administrative,0.015096576
VisitorType_New_Visitor,0.015092221
Month_Dec,0.014758173
TrafficType_8,0.0142177325
TrafficType_3,0.013990627
TrafficType_13,0.013340219
ProductRelated,0.013308148
Administrative_Duration,0.013110091
TrafficType_20,0.01224719
TrafficType_4,0.012082453
TrafficType_1,0.011750949
TrafficType_5,0.011232666
Informational,0.011209955
Region_4,0.011175983
Informational_Duration,0.011039693
TrafficType_10,0.010804922
Month_Oct,0.010784744
Browser_10,0.010729005
OperatingSystems_4,0.010642466
Weekend_True,0.010623736
Browser_4,0.010501475
TrafficType_11,0.010369802
Browser_5,0.010270278
TrafficType_6,0.010101753
Region_5,0.009939263
Browser_2,0.009798957
OperatingSystems_3,0.009620529
Browser_1,0.0094981175
Month_June,0.0094810035
Month_Aug,0.009421635
Region_9,0.009062607
Browser_8,0.009033012
Weekend_False,0.008966994
Region_3,0.008903195
Browser_6,0.008894509
OperatingSystems_7,0.00879922
Region_1,0.008714166
OperatingSystems_2,0.008668566
Region_6,0.008661459
Month_Feb,0.0085647
Browser_12,0.008424578
Region_7,0.008177838
SpecialDay,0.008088064
Region_2,0.0074093174
Region_8,0.0067427782
Browser_3,0.0067110183
Browser_7,0.00546226
OperatingSystems_1,0.0054613096
Browser_13,0.002741774
Browser_9,0.0
OperatingSystems_8,0.0
VisitorType_Other,0.0
OperatingSystems_5,0.0
OperatingSystems_6,0.0
Browser_11,0.0
TrafficType_9,0.0
TrafficType_7,0.0
TrafficType_15,0.0
TrafficType_14,0.0
TrafficType_16,0.0
TrafficType_17,0.0
TrafficType_18,0.0
TrafficType_19,0.0
